food_id,name,tags,ingredients,cook_time,img_url
203,Sabudana Khichadi,spicy snack Maharashtra vegetarian,Not available,Not available,
204,Sev khamani,spicy main course Gujarat vegetarian,Not available,Not available,
205,Sev tameta,spicy main course Gujarat vegetarian,Not available,Not available,
206,Namakpara,spicy snack Gujarat vegetarian,Not available,Not available,
207,Sukhdi,sweet dessert Maharashtra vegetarian,Not available,Not available,
208,Surnoli,spicy snack Maharashtra vegetarian,Not available,Not available,
209,Thalipeeth,spicy main course Maharashtra vegetarian,Not available,Not available,
210,Undhiyu,spicy main course Gujarat vegetarian,Not available,Not available,
211,Veg Kolhapuri,spicy main course Maharashtra vegetarian,Not available,Not available,
212,Vindaloo,spicy main course Goa non vegetarian,Not available,Not available,
213,Lilva Kachori,spicy snack Gujarat vegetarian,Not available,Not available,
214,Mag Dhokli,spicy snack Gujarat vegetarian,Not available,Not available,
215,Khichu,spicy snack Gujarat vegetarian,Not available,Not available,
216,Thepla,spicy snack Gujarat vegetarian,Not available,Not available,
217,Farsi Puri,-1 snack Gujarat vegetarian,Not available,Not available,
218,Khaman,spicy snack Gujarat vegetarian,Not available,Not available,
219,Turiya Patra Vatana sabji,spicy main course Gujarat vegetarian,Not available,Not available,
220,Churma Ladoo,sweet dessert Rajasthan vegetarian,Not available,Not available,
221,Cheera Doi,sweet dessert West Bengal vegetarian,Not available,Not available,
222,Gheela Pitha,sweet dessert Assam vegetarian,Not available,Not available,
223,Khar,-1 main course Assam vegetarian,Not available,Not available,
224,Kumol Sawul,spicy main course Assam non vegetarian,Not available,Not available,
225,Luchi,-1 main course West Bengal vegetarian,Not available,Not available,
226,Alu Pitika,spicy main course Assam non vegetarian,Not available,Not available,
227,Masor tenga,spicy main course Assam non vegetarian,Not available,Not available,
228,Bengena Pitika,-1 main course Assam vegetarian,Not available,Not available,
229,Bilahi Maas,-1 main course Assam non vegetarian,Not available,Not available,
230,Black rice,-1 main course Manipur non vegetarian,Not available,Not available,
231,Bora Sawul,spicy main course Assam vegetarian,Not available,Not available,
232,Brown Rice,-1 main course -1 vegetarian,Not available,Not available,
233,Chingri malai curry,spicy main course West Bengal non vegetarian,Not available,Not available,
234,Goja,sweet dessert West Bengal vegetarian,Not available,Not available,
235,Hando Guri,sweet dessert Assam vegetarian,Not available,Not available,
236,Haq Maas,spicy main course Assam non vegetarian,Not available,Not available,
237,Chingri Bhape,-1 main course West Bengal non vegetarian,Not available,Not available,
238,Kabiraji,spicy main course West Bengal non vegetarian,Not available,Not available,
239,Khorisa,spicy main course Assam vegetarian,Not available,Not available,
