food_id,name,tags,ingredients,cook_time,img_url,diet,dish_family,soup
61,Modak,sweet dessert Maharashtra vegetarian,"Rice flour, coconut, jaggery ",15,,veg,other,"modak modak modak Rice flour, coconut, jaggery  sweet dessert Maharashtra vegetarian"
62,Shankarpali,sweet dessert Maharashtra vegetarian,"Sugar, ghee, maida flour, semolina",35,,veg,other,"shankarpali shankarpali shankarpali Sugar, ghee, maida flour, semolina sweet dessert Maharashtra vegetarian"
63,Shrikhand,sweet dessert Maharashtra vegetarian,"Curd, sugar, saffron, cardamom",720,,veg,other,"shrikhand shrikhand shrikhand Curd, sugar, saffron, cardamom sweet dessert Maharashtra vegetarian"
64,Sutar feni,sweet dessert Maharashtra vegetarian,"Maida, sugar, ghee",55,,veg,other,"sutar_feni sutar_feni sutar_feni Maida, sugar, ghee sweet dessert Maharashtra vegetarian"
65,Maach Jhol,spicy main course Assam non vegetarian,"Fish, potol, tomato, chillies, ginger, garlic",40,,veg,other,"maach_jhol maach_jhol maach_jhol Fish, potol, tomato, chillies, ginger, garlic spicy main course Assam non vegetarian"
66,Pork Bharta,spicy main course Tripura non vegetarian,"Boiled pork, onions, chillies, ginger and garlic",-1,,non-veg,other,"pork_bharta pork_bharta pork_bharta Boiled pork, onions, chillies, ginger and garlic spicy main course Tripura non vegetarian"
67,Chak Hao Kheer,sweet dessert Manipur vegetarian,"Rice, milk, sugar, cardamom",45,,veg,dessert,"chak_hao_kheer chak_hao_kheer chak_hao_kheer Rice, milk, sugar, cardamom sweet dessert Manipur vegetarian"
68,Galho,spicy main course Nagaland non vegetarian,"Rice, axone, salt, water, chillies, pork",15,,veg,other,"galho galho galho Rice, axone, salt, water, chillies, pork spicy main course Nagaland non vegetarian"
69,Aloo gobi,spicy main course Punjab vegetarian,"Cauliflower, potato, garam masala, turmeric, curry leaves",20,,veg,other,"aloo_gobi aloo_gobi aloo_gobi Cauliflower, potato, garam masala, turmeric, curry leaves spicy main course Punjab vegetarian"
70,Aloo tikki,spicy main course Punjab vegetarian,"Rice flour, potato, bread crumbs, garam masala, salt",20,,veg,snack,"aloo_tikki aloo_tikki aloo_tikki Rice flour, potato, bread crumbs, garam masala, salt spicy main course Punjab vegetarian"
71,Aloo matar,spicy main course Punjab vegetarian,"Potato, peas, chillies, ginger, garam masala, garlic",40,,veg,other,"aloo_matar aloo_matar aloo_matar Potato, peas, chillies, ginger, garam masala, garlic spicy main course Punjab vegetarian"
72,Aloo methi,bitter main course Punjab vegetarian,"Potato, fenugreek leaves, chillies, salt, oil",40,,veg,other,"aloo_methi aloo_methi aloo_methi Potato, fenugreek leaves, chillies, salt, oil bitter main course Punjab vegetarian"
73,Aloo shimla mirch,spicy main course Punjab vegetarian,"Potato, shimla mirch, garam masala, amchur powder, salt",40,,veg,other,"aloo_shimla_mirch aloo_shimla_mirch aloo_shimla_mirch Potato, shimla mirch, garam masala, amchur powder, salt spicy main course Punjab vegetarian"
74,Bhatura,spicy main course Punjab vegetarian,"Chole, rava, yogurt, plain flour, baking soda",20,,veg,bread,"bhatura bhatura bhatura Chole, rava, yogurt, plain flour, baking soda spicy main course Punjab vegetarian"
75,Bhindi masala,spicy main course Punjab vegetarian,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",30,,veg,curry,"bhindi_masala bhindi_masala bhindi_masala Ladies finger, garam masala, kasuri methi, tomatoes, chili powder spicy main course Punjab vegetarian"
76,Biryani,spicy main course Telangana non vegetarian,"Chicken thighs, basmati rice, star anise, sweet, green chillies",120,,non-veg,rice,"biryani biryani biryani Chicken thighs, basmati rice, star anise, sweet, green chillies spicy main course Telangana non vegetarian"
77,Butter chicken,spicy main course NCT of Delhi non vegetarian,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",35,,non-veg,curry,"butter_chicken butter_chicken butter_chicken Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter spicy main course NCT of Delhi non vegetarian"
78,Chana masala,spicy main course Punjab vegetarian,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",30,,veg,curry,"chana_masala chana_masala chana_masala Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil spicy main course Punjab vegetarian"
79,Chapati,-1 main course Maharashtra vegetarian,"Whole wheat flour, olive oil, hot water, all purpose flour",10,,veg,bread,"chapati chapati chapati Whole wheat flour, olive oil, hot water, all purpose flour main course Maharashtra vegetarian"
80,Chicken razala,spicy main course West Bengal non vegetarian,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",35,,non-veg,chicken,"chicken_razala chicken_razala chicken_razala Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron spicy main course West Bengal non vegetarian"
81,Chicken Tikka masala,spicy main course Punjab non vegetarian,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",50,,non-veg,curry,"chicken_tikka_masala chicken_tikka_masala chicken_tikka_masala Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala spicy main course Punjab non vegetarian"
82,Chicken Tikka,spicy starter Punjab non vegetarian,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",45,,non-veg,kebab,"chicken_tikka chicken_tikka chicken_tikka Chicken, whole wheat bread, rice flour, garam masala powder, whole egg spicy starter Punjab non vegetarian"
83,Chole bhature,spicy main course Punjab vegetarian,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",30,,veg,other,"chole_bhature chole_bhature chole_bhature Chole, bhatura, garam masala, bay leaf, cinnamon stick spicy main course Punjab vegetarian"
84,Daal baati churma,spicy main course Rajasthan vegetarian,"Moong dal, masoor dal, chana dal, wheat flour, almond",90,,veg,dal,"daal_baati_churma daal_baati_churma daal_baati_churma Moong dal, masoor dal, chana dal, wheat flour, almond spicy main course Rajasthan vegetarian"
85,Daal puri,spicy main course West Bengal vegetarian,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",30,,veg,dal,"daal_puri daal_puri daal_puri Moong dal, garam masala powder, garlic, green chilli, all purpose flour spicy main course West Bengal vegetarian"
86,Dal makhani ,sweet main course Punjab vegetarian,"Red kidney beans, urad dal, cream, garam masala, chili powder",60,,veg,dal,"dal_makhani_ dal_makhani_ dal_makhani_ Red kidney beans, urad dal, cream, garam masala, chili powder sweet main course Punjab vegetarian"
87,Dal tadka,spicy main course Punjab vegetarian,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",30,,veg,dal,"dal_tadka dal_tadka dal_tadka Pigeon peas, garam masala, ginger, red onion, kasuri methi spicy main course Punjab vegetarian"
88,Dum aloo,spicy main course Jammu & Kashmir vegetarian,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",50,,veg,other,"dum_aloo dum_aloo dum_aloo Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes spicy main course Jammu & Kashmir vegetarian"
89,Poha,spicy snack Maharashtra vegetarian,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",30,,veg,other,"poha poha poha Beaten rice flakes, potato, curry leaves, green chilies, lemon juice spicy snack Maharashtra vegetarian"
90,Fara,spicy snack Chhattisgarh vegetarian,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",60,,veg,other,"fara fara fara Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder spicy snack Chhattisgarh vegetarian"
91,Kachori,spicy snack Uttar Pradesh vegetarian,"Moong dal, rava, garam masala, dough, fennel seeds",60,,veg,other,"kachori kachori kachori Moong dal, rava, garam masala, dough, fennel seeds spicy snack Uttar Pradesh vegetarian"
92,Kadai paneer,spicy main course Punjab vegetarian,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",30,,veg,curry,"kadai_paneer kadai_paneer kadai_paneer Cottage cheese, bell peppers, gravy, garam masala, cashew nuts spicy main course Punjab vegetarian"
93,Kadhi pakoda,spicy main course Haryana vegetarian,"Besan, garam masala powder, gram flour, ginger, curry leaves",60,,veg,other,"kadhi_pakoda kadhi_pakoda kadhi_pakoda Besan, garam masala powder, gram flour, ginger, curry leaves spicy main course Haryana vegetarian"
94,Karela bharta,bitter main course Punjab vegetarian,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",50,,veg,other,"karela_bharta karela_bharta karela_bharta Bitter gourd, fennel, garam masala powder, chili powder, amchur powder bitter main course Punjab vegetarian"
95,Khichdi,spicy main course -1 vegetarian,"Moong dal, green peas, ginger, tomato, green chili",20,,veg,rice,"khichdi khichdi khichdi Moong dal, green peas, ginger, tomato, green chili spicy main course  vegetarian"
96,Kofta,spicy main course Uttar Pradesh vegetarian,"Paneer, potato, cream, corn flour, garam masala",40,,veg,other,"kofta kofta kofta Paneer, potato, cream, corn flour, garam masala spicy main course Uttar Pradesh vegetarian"
97,Kulfi falooda,sweet dessert -1 vegetarian,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",25,,veg,other,"kulfi_falooda kulfi_falooda kulfi_falooda Rose syrup, falooda sev, mixed nuts, saffron, sugar sweet dessert  vegetarian"
98,Lauki ke kofte,spicy main course Uttar Pradesh vegetarian,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",40,,veg,other,"lauki_ke_kofte lauki_ke_kofte lauki_ke_kofte Bottle gourd, garam masala powder, gram flour, ginger, chillies spicy main course Uttar Pradesh vegetarian"
99,Lauki ki subji,spicy main course -1 vegetarian,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",20,,veg,other,"lauki_ki_subji lauki_ki_subji lauki_ki_subji Bottle gourd, coconut oil, garam masala, ginger, green chillies spicy main course  vegetarian"
100,Litti chokha,spicy main course Bihar vegetarian,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",60,,veg,other,"litti_chokha litti_chokha litti_chokha Wheat flour, roasted gram flour, tomato, nigella seeds, chilli spicy main course Bihar vegetarian"
101,Makki di roti sarson da saag,spicy main course Punjab vegetarian,"Palak, makki atta, mustard green, garam masala, ginger",30,,veg,bread,"makki_di_roti_sarson_da_saag makki_di_roti_sarson_da_saag makki_di_roti_sarson_da_saag Palak, makki atta, mustard green, garam masala, ginger spicy main course Punjab vegetarian"
102,Misi roti,spicy main course Punjab vegetarian,"Whole wheat flour, chickpea flour, green chilies",30,,veg,bread,"misi_roti misi_roti misi_roti Whole wheat flour, chickpea flour, green chilies spicy main course Punjab vegetarian"
103,Mushroom do pyaza,spicy main course Punjab vegetarian,"Mushroom, malai, garam masala, ginger, capsicum",30,,veg,other,"mushroom_do_pyaza mushroom_do_pyaza mushroom_do_pyaza Mushroom, malai, garam masala, ginger, capsicum spicy main course Punjab vegetarian"
